trade_date,ts_code,name,market,exchange,industry,sig_ma,sig_macd,sig_rsi,sig_kdj,sig_boll,close,ma_bfq_5,ma_bfq_10,macd_dif_bfq,macd_dea_bfq,macd_bfq,rsi_bfq_6,rsi_bfq_12,kdj_k_bfq,kdj_d_bfq,boll_mid_bfq
20260128,600436.SH,片仔癀,主板,SSE,中成药,1,1,1,1,1,156.1,160.114,163.987,-3.416,-2.134,-2.564,5.075,15.934,3.83291,8.20415,167.398
20260128,601166.SH,兴业银行,主板,SSE,银行,1,1,1,1,1,18.55,18.944,19.49,-0.563,-0.356,-0.414,5.15,15.725,3.02719,5.13089,20.25
20260128,000638.SZ,*ST万方,主板,SZSE,农业综合,1,1,1,1,1,2.72,3.02,3.47,-0.577,-0.427,-0.301,6.584,18.057,0.74767,3.35148,4.145
20260128,603288.SH,海天味业,主板,SSE,食品,1,1,1,1,1,34.97,35.608,36.286,-0.524,-0.243,-0.562,7.642,20.803,4.58893,9.33657,37.093
20260128,600000.SH,浦发银行,主板,SSE,银行,1,1,1,1,1,10.05,10.348,10.683,-0.388,-0.251,-0.273,7.97,19.762,3.50688,5.6884,11.241
20260128,601328.SH,交通银行,主板,SSE,银行,1,1,1,1,1,6.55,6.63,6.735,-0.187,-0.154,-0.067,8.166,17.547,4.04856,5.43591,6.938
20260128,002200.SZ,*ST交投,主板,SZSE,建筑工程,1,1,1,1,1,6.89,7.136,7.268,-0.144,-0.095,-0.097,8.573,23.87,18.36622,22.35352,7.376
20260128,600276.SH,恒瑞医药,主板,SSE,化学制药,1,1,1,1,1,56.55,58.068,59.717,-1.14,-0.484,-1.312,8.576,23.342,4.24983,9.58932,61.314
20260128,000963.SZ,华东医药,主板,SZSE,化学制药,1,1,1,1,1,36.25,37.338,37.936,-0.845,-0.668,-0.354,9.12,20.409,5.52414,9.14657,38.672
20260128,000001.SZ,平安银行,主板,SZSE,银行,1,1,1,1,1,10.84,10.96,11.065,-0.162,-0.116,-0.092,9.171,20.728,4.56788,5.51511,11.282
20260128,601066.SH,中信建投,主板,SSE,证券,1,1,1,1,1,24.13,24.528,24.78,-0.527,-0.356,-0.341,9.307,22.429,3.43593,5.14029,25.652
20260128,603369.SH,今世缘,主板,SSE,白酒,1,1,1,1,1,32.22,33.028,33.824,-0.807,-0.567,-0.481,9.47,18.976,8.98334,11.06207,34.544
20260128,600882.SH,妙可蓝多,主板,SSE,乳制品,1,1,1,1,1,22.67,23.42,24.066,-0.786,-0.595,-0.384,10.188,24.427,13.87582,18.05317,24.54
20260128,601825.SH,沪农商行,主板,SSE,银行,1,1,1,1,1,8.32,8.418,8.567,-0.208,-0.147,-0.122,10.417,20.995,6.95902,7.92045,8.848
20260128,300832.SZ,新产业,创业板,SZSE,医疗保健,1,1,1,1,1,53.47,55.264,56.448,-1.205,-0.718,-0.972,10.799,25.611,4.40708,9.42261,57.907
20260128,002528.SZ,ST英飞拓,主板,SZSE,IT设备,1,1,1,1,1,2.43,2.634,2.684,-0.077,-0.055,-0.043,11.039,21.084,10.94096,21.15154,2.727
20260128,600887.SH,伊利股份,主板,SSE,乳制品,1,1,1,1,1,26.14,26.564,26.812,-0.573,-0.471,-0.205,11.264,19.965,6.10964,8.31837,27.434
20260128,002020.SZ,京新药业,主板,SZSE,化学制药,1,1,1,1,1,16.94,17.638,18.018,-0.536,-0.362,-0.348,11.346,24.996,7.27248,10.09889,18.674
20260128,600107.SH,ST尔雅,主板,SSE,服饰,1,1,1,1,1,6.01,6.394,6.654,-0.177,-0.087,-0.18,11.465,26.799,10.29342,17.16894,6.811
20260128,600365.SH,ST通葡,主板,SSE,互联网,1,1,1,1,1,3.0,3.12,3.159,-0.048,-0.031,-0.033,11.696,23.514,19.93073,28.18335,3.198
20260128,601916.SH,浙商银行,主板,SSE,银行,1,1,1,1,1,2.91,2.936,2.96,-0.034,-0.025,-0.017,12.273,22.929,1.64997,4.64644,2.997
20260128,603758.SH,秦安股份,主板,SSE,汽车配件,1,1,1,1,1,14.96,15.592,15.945,-0.577,-0.418,-0.319,12.402,22.945,10.61862,13.16034,16.521
20260128,002742.SZ,*ST三圣,主板,SZSE,水泥,1,1,1,1,1,4.01,4.23,4.286,-0.124,-0.107,-0.035,12.637,21.603,21.4653,28.74567,4.358
20260128,600900.SH,长江电力,主板,SSE,水力发电,1,1,1,1,1,25.65,25.974,26.347,-0.473,-0.367,-0.212,12.792,19.76,6.58486,10.79397,26.803
20260128,000858.SZ,五粮液,主板,SZSE,白酒,1,1,1,1,1,100.7,101.962,103.357,-2.598,-2.333,-0.531,13.019,20.961,5.00311,8.65906,105.405
20260128,601136.SH,首创证券,主板,SSE,证券,1,1,1,1,1,18.02,18.606,18.762,-0.263,-0.212,-0.102,13.193,24.697,6.78565,11.84115,18.986
20260128,601766.SH,中国中车,主板,SSE,运输设备,1,1,1,1,1,6.34,6.53,6.681,-0.145,-0.097,-0.097,13.284,22.894,6.97264,13.92616,6.828
20260128,688115.SH,思林杰,科创板,SSE,电器仪表,1,1,1,1,1,45.63,48.29,54.659,-4.515,-2.312,-4.406,13.746,23.48,6.99041,13.498,60.195
20260128,600018.SH,上港集团,主板,SSE,港口,1,1,1,1,1,4.95,5.034,5.119,-0.134,-0.101,-0.065,13.749,20.287,6.6618,10.47993,5.276
20260128,688577.SH,浙海德曼,科创板,SSE,机床制造,1,1,1,1,1,78.7,83.44,85.645,-5.035,-4.673,-0.724,13.976,24.578,10.27185,12.63755,89.824
20260128,000029.SZ,深深房Ａ,主板,SZSE,区域地产,1,1,1,1,1,19.97,20.708,20.984,-0.755,-0.684,-0.141,14.173,24.014,13.08186,15.16973,21.549
20260128,600809.SH,山西汾酒,主板,SSE,白酒,1,1,1,1,1,161.29,163.664,167.231,-4.668,-3.679,-1.977,14.184,23.71,9.31346,12.94102,171.799
20260128,688696.SH,极米科技,科创板,SSE,家用电器,1,1,1,1,1,93.37,99.766,104.074,-2.725,-1.048,-3.355,14.192,24.346,7.18485,14.53547,107.524
20260128,002304.SZ,洋河股份,主板,SZSE,白酒,1,1,1,1,1,54.38,58.238,60.55,-1.609,-0.756,-1.706,14.235,22.376,16.08581,30.92142,61.48
20260128,688089.SH,嘉必优,科创板,SSE,食品,1,1,1,1,1,18.86,19.738,19.871,-0.964,-0.856,-0.214,14.24,20.292,23.83289,30.74576,20.958
20260128,920978.BJ,开特股份,北交所,BSE,汽车配件,1,1,1,1,1,31.7,33.192,34.327,-0.941,-0.475,-0.932,14.465,25.14,9.52916,11.13284,35.513
20260128,301004.SZ,嘉益股份,创业板,SZSE,家居用品,1,1,1,1,1,48.29,49.832,51.239,-0.921,-0.6,-0.642,14.517,25.566,13.20788,21.59723,51.74
20260128,600519.SH,贵州茅台,主板,SSE,白酒,1,1,1,1,1,1323.69,1337.152,1355.726,-22.615,-16.684,-11.861,14.533,23.574,10.29624,12.05703,1383.258
20260128,603516.SH,淳中科技,主板,SSE,IT设备,1,1,1,1,1,161.68,194.718,211.574,-5.862,3.543,-18.81,14.602,27.937,10.32667,20.91927,225.051
20260128,601229.SH,上海银行,主板,SSE,银行,1,1,1,1,1,9.13,9.316,9.525,-0.173,-0.09,-0.166,14.608,25.294,6.00728,12.0617,9.774
20260128,601398.SH,工商银行,主板,SSE,银行,1,1,1,1,1,7.2,7.23,7.386,-0.179,-0.138,-0.082,14.634,21.559,10.38814,10.69035,7.582
20260128,603869.SH,ST智知,主板,SSE,软件服务,1,1,1,1,1,9.54,10.066,10.277,-0.206,-0.092,-0.229,14.721,26.033,21.0671,26.73851,10.51
20260128,002965.SZ,祥鑫科技,主板,SZSE,汽车配件,1,1,1,1,1,36.03,38.346,39.627,-0.304,0.345,-1.298,14.801,29.096,10.5879,17.92344,40.562
20260128,001206.SZ,依依股份,主板,SZSE,造纸,1,1,1,1,1,25.72,27.534,27.951,-0.804,-0.608,-0.391,14.803,25.869,20.77496,25.63027,28.676
20260128,600104.SH,上汽集团,主板,SSE,汽车整车,1,1,1,1,1,14.2,14.594,14.848,-0.252,-0.158,-0.189,14.867,25.349,7.97543,15.1593,15.096
20260128,301557.SZ,常友科技,创业板,SZSE,电气设备,1,1,1,1,1,112.95,113.942,118.429,-4.734,-3.324,-2.82,14.885,26.434,17.50889,19.18118,122.084
20260128,601881.SH,中国银河,主板,SSE,证券,1,1,1,1,1,14.97,15.228,15.37,-0.245,-0.173,-0.145,15.192,27.697,5.47061,8.09208,15.726
20260128,000625.SZ,长安汽车,主板,SZSE,汽车整车,1,1,1,1,1,11.29,11.528,11.603,-0.109,-0.07,-0.078,15.395,27.372,7.42354,9.81616,11.734
20260128,600696.SH,*ST岩石,主板,SSE,白酒,1,1,1,1,1,1.98,2.182,2.335,-0.436,-0.425,-0.021,15.437,21.385,5.53975,10.28551,2.635
20260128,600996.SH,贵广网络,主板,SSE,影视音像,1,1,1,1,1,8.84,9.2,9.38,-0.374,-0.297,-0.155,15.51,26.351,14.80402,21.33393,9.715
20260128,002191.SZ,劲嘉股份,主板,SZSE,广告包装,1,1,1,1,1,4.0,4.394,4.429,0.011,0.045,-0.068,16.099,30.416,26.98108,38.33941,4.396
20260128,601633.SH,长城汽车,主板,SSE,汽车整车,1,1,1,1,1,20.87,21.264,21.516,-0.294,-0.192,-0.205,16.111,26.969,7.65135,11.55141,21.874
20260128,601127.SH,赛力斯,主板,SSE,汽车整车,1,1,1,1,1,108.36,113.732,116.95,-3.169,-2.137,-2.064,16.134,24.244,6.47435,9.32846,120.262
20260128,603222.SH,济民健康,主板,SSE,医疗保健,1,1,1,1,1,8.52,9.034,9.229,-0.182,-0.087,-0.19,16.309,28.17,14.69032,22.98526,9.412
20260128,000921.SZ,海信家电,主板,SZSE,家用电器,1,1,1,1,1,23.62,24.15,24.38,-0.397,-0.337,-0.121,16.355,24.724,18.35682,26.78683,24.6
20260128,300049.SZ,福瑞医科,创业板,SZSE,医疗保健,1,1,1,1,1,67.9,70.796,74.766,-0.735,0.854,-3.179,16.406,32.074,7.67978,17.01287,76.232
20260128,002955.SZ,鸿合科技,主板,SZSE,IT设备,1,1,1,1,1,27.29,27.862,28.194,-0.396,-0.148,-0.495,16.497,30.282,12.40347,15.27054,29.061
20260128,688789.SH,宏华数科,科创板,SSE,专用机械,1,1,1,1,1,75.43,77.018,79.302,-0.597,0.192,-1.577,16.538,31.897,15.89884,26.2769,80.218
20260128,603607.SH,京华激光,主板,SSE,造纸,1,1,1,1,1,23.27,24.514,25.681,-0.49,0.021,-1.024,16.561,30.021,9.48734,15.96622,26.638
20260128,002779.SZ,中坚科技,主板,SZSE,农用机械,1,1,1,1,1,101.47,107.272,110.718,-2.863,-1.956,-1.816,16.696,30.767,22.25515,34.90245,112.044
20260128,300591.SZ,万里马,创业板,SZSE,服饰,1,1,1,1,1,8.43,8.92,9.049,-0.275,-0.21,-0.131,16.819,29.603,18.87571,22.27297,9.374
